Modelo_Marca,Perdidas_Normal,Tipo_Combustible,Aspiracion,Num_Puertas,Estilo_Carroceria,Ruedas_Motrices,Distancia_Entre_Ejes,Longitud,Ancho,Altura,Peso_Vacio,Tipo_Motor,Num_Cilindros,Tamano_Motor,Sis_combustible,Diametro_Interior,Carrera,Relacion_Compresion,Potencia,RPM_Max,Galones_Ciudad,Galones_Carretera,PRECIO
C128_toyota,91,gas,std,four,wagon,rwd,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8778
C179_dodge,148,gas,std,four,sedan,fwd,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
C153_toyota,91,gas,std,four,sedan,fwd,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,7738
C048_toyota,197,gas,std,two,hatchback,rwd,102.9,183.5,67.7,52,2976,otros,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558
C186_dodge,118,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377
C019_audi,158,gas,turbo,four,sedan,fwd,105.8,192.7,71.4,55.9,3086,ohc,otros,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875
C102_mazda,115,gas,std,four,sedan,fwd,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245
C182_chevrolet,81,gas,std,four,sedan,fwd,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575
C050_mercury,,gas,turbo,two,hatchback,rwd,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503
C070_nissan,108,gas,std,four,sedan,fwd,100.4,184.6,66.5,55.1,3060,otros,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499
C062_saab,150,gas,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040
C195_nissan,128,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499
C150_toyota,91,diesel,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788
C093_toyota,134,gas,std,two,wagon,rwd,98.4,176.2,65.6,52,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199
C030_saab,104,gas,turbo,four,sedan,fwd,99.1,186.6,66.5,56.1,2847,otros,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620
C088_volkswagen,,gas,std,two,hatchback,fwd,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595
C159_subaru,89,gas,std,four,wagon,fwd,97,173.5,65.4,53,2290,otros,four,108,2bbl,3.62,2.64,9,82,4800,28,32,7463
C161_nissan,103,gas,std,four,wagon,fwd,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349
C087_subaru,85,gas,turbo,four,wagon,rwd,96.9,173.6,65.4,54.9,2650,otros,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694
C032_nissan,231,gas,std,two,hatchback,rwd,99.2,178.5,67.9,49.7,3139,otros,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399
C133_toyota,134,gas,std,two,wagon,rwd,98.4,176.2,65.6,52,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449
C136_toyota,168,gas,std,two,hatchback,rwd,94.5,168.7,64,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8238
C007_jaguar,,gas,std,four,sedan,rwd,113,199.6,69.6,52.8,4066,otros,six,258,mpfi,3.63,4.17,8.1,#,4750,15,19,35550
C120_subaru,102,gas,std,four,sedan,rwd,97,172,65.4,54.3,2385,otros,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9233
C129_dodge,148,gas,turbo,four,sedan,fwd,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558
C163_honda,78,gas,std,four,wagon,fwd,96.5,157.1,63.9,58.3,2024,ohc,four,92,otros,2.92,3.41,9.2,76,6000,30,34,7295
C114_volkswagen,94,diesel,turbo,four,sedan,fwd,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495
C047_peugot,161,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,3075,otros,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630
C044_peugot,161,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,3252,otros,four,152,idi,3.7,3.52,21,95,4150,28,33,16900
C112_nissan,106,gas,std,four,sedan,fwd,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549
C021_volvo,95,diesel,turbo,four,sedan,rwd,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470
C152_subaru,102,gas,std,four,sedan,fwd,97.2,172,65.4,52.5,2190,otros,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775
C103_subaru,89,gas,std,four,wagon,fwd,97,173.5,65.4,53,2455,otros,four,108,mpfi,3.62,2.64,9,94,5200,25,31,10198
C131_volkswagen,94,gas,std,four,sedan,fwd,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495
C011_porsche,,gas,std,two,wagon,rwd,89.5,168.9,65,51.6,2756,otros,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528
C005_bmw,,gas,std,four,sedan,rwd,110,197,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880
C123_toyota,65,gas,std,four,sedan,fwd,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948
C061_audi,,gas,std,two,sedan,fwd,99.8,177.3,66.3,53.1,2507,ohc,otros,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250
C076_dodge,145,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,2811,ohc,four,156,otros,3.6,3.9,7,145,5000,19,24,12964
C164_honda,110,gas,std,four,sedan,fwd,96.5,163.4,64,54.5,2010,ohc,four,92,otros,2.91,3.41,9.2,76,6000,30,34,7295
C119_toyota,91,gas,std,four,sedan,fwd,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,9258
C106_toyota,65,gas,std,four,hatchback,fwd,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988
C134_toyota,91,gas,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8358
C015_mercedes-benz,93,diesel,turbo,four,wagon,rwd,110,190.9,70.3,58.7,3750,ohc,otros,183,idi,3.58,3.64,21.5,123,4350,22,25,28248
C022_porsche,186,gas,std,two,hatchback,rwd,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018
C178_plymouth,154,gas,std,four,sedan,fwd,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
C017_mercedes-benz,93,diesel,turbo,four,sedan,rwd,110,190.9,70.3,56.5,3515,ohc,otros,183,idi,3.58,3.64,21.5,123,4350,22,25,25552
C083_saab,104,gas,std,four,sedan,fwd,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170
C069_mazda,150,gas,std,two,hatchback,rwd,95.3,169,65.7,49.6,2385,otros,otros,70,otros,,,9.4,101,6000,17,23,13645
C035_peugot,161,gas,turbo,four,sedan,rwd,108,186.7,68.3,56,3130,otros,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150
C016_mercedes-benz,93,diesel,turbo,two,wagon,rwd,106.7,187.5,70.3,54.9,3495,ohc,otros,183,idi,3.58,3.64,21.5,123,4350,22,25,28176
C058_mazda,150,gas,std,two,hatchback,rwd,95.3,169,65.7,49.6,2500,otros,otros,80,mpfi,,,9.4,135,6000,16,23,15645
C126_honda,85,gas,std,four,sedan,fwd,96.5,175.4,65.2,54.1,2304,ohc,four,110,otros,3.15,3.58,9,86,5800,27,33,8845
C188_chevrolet,98,gas,std,two,hatchback,fwd,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295
C201_subaru,83,gas,std,two,hatchback,fwd,93.7,156.9,63.4,53.7,2050,otros,four,97,2bbl,3.62,2.36,9,69,4900,31,36,5118
C045_volvo,95,gas,std,four,sedan,rwd,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845
C168_nissan,128,diesel,std,two,sedan,fwd,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099
C138_mitsubishi,125,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189
C142_volkswagen,94,diesel,std,four,sedan,fwd,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7995
C107_volkswagen,256,gas,std,two,hatchback,fwd,94.5,165.7,64,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980
C039_toyota,134,gas,std,two,hatchback,rwd,98.4,176.2,65.6,53,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669
C018_bmw,,gas,std,four,sedan,rwd,103.5,189,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,|,20,25,24565
C180_mitsubishi,161,gas,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669
C100_honda,107,gas,std,two,sedan,fwd,96.5,169.1,66,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345
C108_subaru,102,gas,std,four,sedan,fwd,97.2,172,65.4,52.5,2340,otros,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9960
C040_audi,164,gas,std,four,sedan,rwd,99.4,176.6,66.4,54.3,2824,ohc,otros,136,mpfi,3.19,3.4,8,115,5500,18,22,17450
C038_audi,158,gas,std,four,sedan,fwd,105.8,192.7,71.4,55.7,2844,ohc,otros,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710
C116_renault,,gas,std,four,wagon,fwd,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,,,23,31,9295
C173_honda,137,gas,std,two,hatchback,fwd,86.6,144.6,63.9,50.8,1819,ohc,four,92,otros,2.91,3.41,9.2,76,6000,31,38,6855
C169_subaru,83,gas,std,two,hatchback,fwd,93.7,157.9,63.6,53.7,2120,otros,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053
C160_mazda,113,gas,std,four,sedan,fwd,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395
C089_toyota,134,gas,std,two,hatchback,rwd,98.4,176.2,65.6,52,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549
C143_volkswagen,122,gas,std,two,sedan,fwd,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,7975
C155_plymouth,154,gas,std,four,sedan,fwd,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
C146_toyota,91,diesel,std,four,sedan,fwd,95.7,166.3,64.4,53,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898
C006_jaguar,,gas,std,two,sedan,rwd,102,191.7,70.6,47.8,3950,otros,otros,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000
C111_toyota,134,gas,std,two,wagon,rwd,98.4,176.2,65.6,52,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639
C054_toyota,197,gas,std,two,hatchback,rwd,102.9,183.5,67.7,52,3016,otros,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998
C154_mitsubishi,161,gas,turbo,two,hatchback,fwd,93,157.3,63.8,50.8,2145,ohc,four,98,otros,3.03,3.39,7.6,102,5500,24,30,7689
C031_volvo,103,gas,turbo,four,sedan,rwd,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420
C096_toyota,65,gas,std,four,sedan,fwd,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898
C020_volvo,95,gas,turbo,four,sedan,rwd,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625
C157_subaru,83,gas,std,two,hatchback,rwd,93.3,157.3,63.8,55.7,2240,otros,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603
C121_honda,106,gas,std,two,hatchback,fwd,96.5,167.5,65.2,53.3,2289,ohc,four,110,otros,3.15,3.58,9,86,5800,27,33,9095
C145_dodge,118,gas,turbo,two,hatchback,fwd,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957
C075_peugot,161,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,3197,otros,four,152,idi,3.7,3.52,21,95,4150,28,33,13200
C192_mazda,104,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095
C147_toyota,81,gas,std,four,wagon,rwd,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,7898
C174_nissan,122,gas,std,four,sedan,fwd,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849
C001_mercedes-benz,,gas,std,two,wagon,rwd,112,199.2,72,55.4,3715,otros,otros,304,mpfi,3.8,3.35,8,184,4500,14,16,45400
C008_mercedes-benz,142,gas,std,two,hatchback,rwd,96.6,180.3,70.5,50.8,3685,otros,otros,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056
C055_volvo,103,gas,std,four,sedan,rwd,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985
C190_dodge,148,gas,std,four,hatchback,fwd,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
C012_jaguar,145,gas,std,four,sedan,rwd,113,199.6,69.6,52.8,4066,otros,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250
C176_isuzu,,gas,std,four,sedan,rwd,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785
C082_volkswagen,,gas,std,four,wagon,fwd,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,12290
C181_nissan,128,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649
C196_honda,101,gas,std,two,hatchback,fwd,93.7,150,64,52.6,1837,ohc,four,79,otros,2.91,3.07,10.1,60,5500,38,42,5399
C064_mitsubishi,,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,2926,ohc,four,156,otros,3.59,3.86,7,145,5000,19,24,14489
